src,trg,spm-sacre
af,zh,23.2
am,zh,12.3
ar,zh,21.4
ast,zh,21.3
az,zh,15.9
be,zh,15.3
bg,zh,22.1
bn,zh,16.2
bs,zh,19.0
ca,zh,23.3
ceb,zh,14.3
cs,zh,21.5
cy,zh,13.9
da,zh,21.9
de,zh,22.0
el,zh,18.2
en,zh,25.5
es,zh,18.5
et,zh,19.8
fa,zh,19.0
ff,zh,4.5
fi,zh,19.8
fr,zh,22.3
ga,zh,11.6
gl,zh,23.0
gu,zh,12.2
ha,zh,10.7
he,zh,19.7
hi,zh,18.3
hr,zh,20.8
hu,zh,20.4
hy,zh,15.6
id,zh,20.7
ig,zh,9.8
is,zh,18.2
it,zh,19.4
ja,zh,18.4
jv,zh,14.2
ka,zh,13.8
kk,zh,14.2
km,zh,12.9
kn,zh,12.3
ko,zh,18.2
lb,zh,12.9
lg,zh,5.2
ln,zh,7.6
lo,zh,12.0
lt,zh,18.8
lv,zh,10.5
mk,zh,21.8
ml,zh,15.0
mn,zh,12.7
mr,zh,16.8
ms,zh,20.9
my,zh,9.0
ne,zh,18.2
nl,zh,18.8
no,zh,20.4
ns,zh,8.5
oc,zh,22.6
or,zh,7.9
pa,zh,11.8
pl,zh,19.3
ps,zh,13.2
pt,zh,22.0
ro,zh,22.1
ru,zh,21.1
sd,zh,4.5
sk,zh,21.0
sl,zh,19.8
so,zh,9.9
sr,zh,21.4
sv,zh,21.9
sw,zh,16.0
ta,zh,13.1
th,zh,17.9
tl,zh,17.5
tr,zh,19.9
uk,zh,21.6
ur,zh,16.9
uz,zh,11.4
vi,zh,19.9
wo,zh,5.5
xh,zh,11.3
yo,zh,6.7
zu,zh,11.6
