src,trg,spm-sacre
ar,af,24.5
ar,am,3.2
ar,ast,16.7
ar,az,6.4
ar,be,11.6
ar,bg,28.9
ar,bn,19.8
ar,bs,24.2
ar,ca,32.4
ar,ceb,17.1
ar,cs,26.8
ar,cy,6.2
ar,da,31.2
ar,de,27.6
ar,el,25.5
ar,en,38.3
ar,es,24.1
ar,et,24.0
ar,fa,22.5
ar,ff,0.1
ar,fi,21.3
ar,fr,36.0
ar,ga,1.0
ar,gl,21.5
ar,gu,0.3
ar,ha,3.3
ar,he,26.7
ar,hi,25.3
ar,hr,24.7
ar,hu,23.9
ar,hy,4.9
ar,id,30.0
ar,ig,9.6
ar,is,7.9
ar,it,25.3
ar,ja,21.0
ar,jv,7.4
ar,ka,7.3
ar,kk,3.0
ar,km,0.3
ar,kn,0.3
ar,ko,16.4
ar,lb,7.3
ar,lg,0.4
ar,ln,0.5
ar,lo,2.5
ar,lt,25.2
ar,lv,11.5
ar,mk,27.1
ar,ml,7.0
ar,mn,2.3
ar,mr,6.5
ar,ms,25.4
ar,my,0.4
ar,ne,0.1
ar,nl,23.6
ar,no,24.1
ar,ns,0.6
ar,oc,7.8
ar,or,0.3
ar,pa,0.6
ar,pl,20.2
ar,ps,4.7
ar,pt,34.8
ar,ro,31.2
ar,ru,25.6
ar,sd,4.7
ar,sk,27.6
ar,sl,25.4
ar,so,2.1
ar,sr,24.5
ar,sv,29.6
ar,sw,6.5
ar,ta,1.9
ar,th,13.6
ar,tl,10.1
ar,tr,24.4
ar,uk,24.6
ar,ur,12.2
ar,uz,0.0
ar,vi,30.7
ar,wo,0.6
ar,xh,2.6
ar,yo,1.7
ar,zh,18.3
ar,zu,5.7
