src,trg,spm-sacre
az,af,5.8
az,am,0.2
az,ar,0.1
az,ast,3.8
az,be,1.9
az,bg,5.2
az,bn,1.4
az,bs,4.7
az,ca,7.7
az,ceb,5.7
az,cs,4.3
az,cy,6.5
az,da,6.2
az,de,5.0
az,el,0.2
az,en,9.3
az,es,6.6
az,et,2.7
az,fa,4.3
az,ff,0.1
az,fi,2.6
az,fr,7.3
az,ga,2.7
az,gl,3.7
az,gu,1.2
az,ha,0.7
az,he,0.3
az,hi,7.5
az,hr,4.4
az,hu,3.4
az,hy,0.2
az,id,2.5
az,ig,2.0
az,is,2.1
az,it,5.8
az,ja,2.3
az,jv,1.4
az,ka,0.7
az,kk,0.4
az,km,1.5
az,kn,0.4
az,ko,0.5
az,lb,1.3
az,lg,0.3
az,ln,0.3
az,lo,0.4
az,lt,3.3
az,lv,4.0
az,mk,4.6
az,ml,0.1
az,mn,1.1
az,mr,4.5
az,ms,5.4
az,my,0.6
az,ne,5.7
az,nl,5.3
az,no,5.1
az,ns,0.7
az,oc,3.6
az,or,0.2
az,pa,1.3
az,pl,3.1
az,ps,2.9
az,pt,6.6
az,ro,5.3
az,ru,3.9
az,sd,0.2
az,sk,4.0
az,sl,4.8
az,so,0.6
az,sr,3.8
az,sv,5.2
az,sw,2.5
az,ta,0.5
az,th,0.2
az,tl,7.5
az,tr,11.3
az,uk,2.7
az,ur,3.8
az,uz,0.1
az,vi,2.5
az,wo,0.2
az,xh,1.1
az,yo,0.6
az,zh,0.3
az,zu,1.2
