src,trg,spm-sacre
ceb,af,4.3
ceb,am,0.3
ceb,ar,0.3
ceb,ast,2.2
ceb,az,0.6
ceb,be,0.2
ceb,bg,1.0
ceb,bn,0.0
ceb,bs,2.5
ceb,ca,2.4
ceb,cs,1.6
ceb,cy,0.6
ceb,da,3.3
ceb,de,1.4
ceb,el,0.4
ceb,en,4.8
ceb,es,3.6
ceb,et,2.5
ceb,fa,0.7
ceb,ff,0.4
ceb,fi,1.4
ceb,fr,3.1
ceb,ga,0.8
ceb,gl,2.9
ceb,gu,1.0
ceb,ha,0.6
ceb,he,0.1
ceb,hi,0.8
ceb,hr,1.9
ceb,hu,2.0
ceb,hy,0.6
ceb,id,2.9
ceb,ig,0.6
ceb,is,2.0
ceb,it,3.7
ceb,ja,0.1
ceb,jv,5.9
ceb,ka,0.1
ceb,kk,0.1
ceb,km,0.3
ceb,kn,0.4
ceb,ko,0.3
ceb,lb,0.8
ceb,lg,0.5
ceb,ln,0.6
ceb,lo,0.2
ceb,lt,2.0
ceb,lv,1.9
ceb,mk,0.3
ceb,ml,0.2
ceb,mn,0.1
ceb,mr,0.4
ceb,ms,2.1
ceb,my,0.2
ceb,ne,0.5
ceb,nl,2.4
ceb,no,3.0
ceb,ns,0.9
ceb,oc,1.9
ceb,or,0.1
ceb,pa,0.1
ceb,pl,1.5
ceb,ps,0.2
ceb,pt,3.6
ceb,ro,2.1
ceb,ru,0.7
ceb,sd,0.1
ceb,sk,2.3
ceb,sl,2.7
ceb,so,1.8
ceb,sr,0.2
ceb,sv,3.0
ceb,sw,0.6
ceb,ta,0.1
ceb,th,0.2
ceb,tl,11.6
ceb,tr,0.9
ceb,uk,0.4
ceb,ur,0.1
ceb,uz,0.7
ceb,vi,1.8
ceb,wo,3.2
ceb,xh,1.5
ceb,yo,0.5
ceb,zh,0.5
ceb,zu,2.6
