src,trg,spm-sacre
en,af,41.6
en,am,6.3
en,ar,27.9
en,ast,22.1
en,az,11.5
en,be,16.4
en,bg,41.5
en,bn,24.4
en,bs,34.5
en,ca,44.6
en,ceb,6.8
en,cs,35.1
en,cy,11.4
en,da,45.4
en,de,42.3
en,el,29.4
en,es,30.9
en,et,29.7
en,fa,25.7
en,ff,0.1
en,fi,25.5
en,fr,50.8
en,ga,0.4
en,gl,37.8
en,gu,2.6
en,ha,11.2
en,he,29.1
en,hi,31.1
en,hr,32.8
en,hu,28.7
en,hy,7.9
en,id,42.5
en,ig,1.5
en,is,20.4
en,it,33.1
en,ja,22.8
en,jv,9.9
en,ka,7.6
en,kk,10.3
en,km,2.1
en,kn,0.5
en,ko,15.6
en,lb,0.0
en,lg,1.1
en,ln,1.7
en,lo,1.0
en,lt,29.7
en,lv,33.4
en,mk,35.8
en,ml,26.8
en,mn,2.6
en,mr,16.8
en,ms,38.8
en,my,1.1
en,ne,17.7
en,nl,30.9
en,no,36.4
en,ns,6.4
en,oc,18.3
en,or,0.3
en,pa,2.3
en,pl,25.6
en,ps,2.6
en,pt,51.4
en,ro,41.8
en,ru,32.1
en,sd,7.3
en,sk,35.9
en,sl,32.3
en,so,4.8
en,sr,39.3
en,sv,45.4
en,sw,32.2
en,ta,20.9
en,th,14.6
en,tl,26.4
en,tr,31.7
en,uk,32.7
en,ur,21.1
en,uz,1.2
en,vi,37.0
en,wo,1.3
en,xh,8.5
en,yo,2.4
en,zh,23.5
en,zu,6.5
