src,trg,spm-sacre
zh,af,10.3
zh,am,1.1
zh,ar,19.0
zh,ast,10.7
zh,az,3.2
zh,be,2.1
zh,bg,24.9
zh,bn,15.5
zh,bs,17.8
zh,ca,14.9
zh,ceb,9.3
zh,cs,21.4
zh,cy,2.6
zh,da,23.8
zh,de,22.3
zh,el,20.2
zh,en,28.3
zh,es,20.7
zh,et,19.2
zh,fa,16.4
zh,ff,0.0
zh,fi,17.9
zh,fr,29.1
zh,ga,1.5
zh,gl,16.0
zh,gu,0.2
zh,ha,3.4
zh,he,15.4
zh,hi,17.7
zh,hr,19.2
zh,hu,20.0
zh,hy,0.1
zh,id,24.4
zh,ig,1.9
zh,is,4.9
zh,it,20.7
zh,ja,21.3
zh,jv,6.4
zh,ka,0.0
zh,kk,1.9
zh,km,0.2
zh,kn,0.1
zh,ko,2.6
zh,lb,5.1
zh,lg,0.1
zh,ln,0.3
zh,lo,0.8
zh,lt,20.4
zh,lv,6.5
zh,mk,22.3
zh,ml,4.2
zh,mn,2.4
zh,mr,3.0
zh,ms,20.6
zh,my,0.2
zh,ne,4.3
zh,nl,19.9
zh,no,18.9
zh,ns,0.5
zh,oc,5.9
zh,or,0.7
zh,pa,0.1
zh,pl,17.6
zh,ps,1.5
zh,pt,21.7
zh,ro,24.3
zh,ru,20.7
zh,sd,1.5
zh,sk,21.4
zh,sl,20.0
zh,so,1.7
zh,sr,17.7
zh,sv,23.1
zh,sw,13.7
zh,ta,0.9
zh,th,5.9
zh,tl,9.2
zh,tr,18.2
zh,uk,18.2
zh,ur,0.1
zh,uz,1.0
zh,vi,27.7
zh,wo,0.3
zh,xh,2.6
zh,yo,1.2
zh,zu,2.2
