src,trg,spm-sacre
af,az,7.0
am,az,0.6
ar,az,3.1
ast,az,2.5
be,az,4.1
bg,az,6.5
bn,az,3.2
bs,az,4.6
ca,az,7.4
ceb,az,4.6
cs,az,6.7
cy,az,4.8
da,az,6.9
de,az,7.1
el,az,1.5
en,az,11.6
es,az,6.1
et,az,4.9
fa,az,4.8
ff,az,0.9
fi,az,4.6
fr,az,7.9
ga,az,2.0
gl,az,5.3
gu,az,1.5
ha,az,2.5
he,az,1.1
hi,az,6.3
hr,az,6.7
hu,az,5.1
hy,az,1.0
id,az,5.1
ig,az,3.3
is,az,3.3
it,az,7.1
ja,az,3.4
jv,az,3.4
ka,az,2.4
kk,az,2.4
km,az,3.2
kn,az,1.1
ko,az,1.4
lb,az,2.3
lg,az,1.3
ln,az,1.8
lo,az,1.1
lt,az,5.5
lv,az,5.7
mk,az,6.3
ml,az,0.6
mn,az,3.8
mr,az,5.5
ms,az,6.4
my,az,2.8
ne,az,6.0
nl,az,6.7
no,az,6.9
ns,az,2.1
oc,az,2.6
or,az,0.4
pa,az,1.3
pl,az,5.6
ps,az,4.0
pt,az,8.1
ro,az,7.8
ru,az,6.9
sd,az,1.1
sk,az,6.9
sl,az,6.2
so,az,0.9
sr,az,6.3
sv,az,6.2
sw,az,3.9
ta,az,2.1
th,az,1.5
tl,az,5.9
tr,az,14.8
uk,az,5.3
ur,az,4.4
uz,az,3.6
vi,az,4.6
wo,az,1.2
xh,az,3.2
yo,az,1.6
zh,az,1.8
zu,az,2.8
