src,trg,spm-sacre
af,de,36.6
am,de,3.7
ar,de,26.6
ast,de,28.1
az,de,12.4
be,de,15.7
bg,de,33.0
bn,de,20.6
bs,de,31.5
ca,de,34.9
ceb,de,17.6
cs,de,32.7
cy,de,7.9
da,de,37.2
el,de,28.4
en,de,44.3
es,de,28.3
et,de,30.6
fa,de,24.9
ff,de,4.0
fi,de,28.9
fr,de,35.3
ga,de,0.3
gl,de,32.3
gu,de,1.1
ha,de,3.2
he,de,29.0
hi,de,25.0
hr,de,30.3
hu,de,30.1
hy,de,10.4
id,de,30.9
ig,de,8.6
is,de,22.8
it,de,31.4
ja,de,4.7
jv,de,14.6
ka,de,2.9
kk,de,7.0
km,de,3.5
kn,de,7.3
ko,de,17.2
lb,de,20.5
lg,de,4.7
ln,de,5.9
lo,de,7.8
lt,de,28.2
lv,de,15.7
mk,de,32.3
ml,de,14.8
mn,de,6.6
mr,de,14.9
ms,de,28.6
my,de,3.2
ne,de,14.3
nl,de,28.9
no,de,33.3
ns,de,6.1
oc,de,31.0
or,de,0.8
pa,de,1.7
pl,de,26.8
ps,de,9.0
pt,de,35.8
ro,de,34.5
ru,de,30.0
sd,de,3.9
sk,de,33.6
sl,de,30.5
so,de,4.6
sr,de,34.7
sv,de,37.8
sw,de,22.9
ta,de,5.2
th,de,17.8
tl,de,22.4
tr,de,29.6
uk,de,32.1
ur,de,8.2
uz,de,8.0
vi,de,26.4
wo,de,5.0
xh,de,8.4
yo,de,2.8
zh,de,22.8
zu,de,9.9
