src,trg,spm-sacre
af,en,56.6
am,en,16.6
ar,en,36.4
ast,en,28.6
az,en,20.5
be,en,19.6
bg,en,41.2
bn,en,28.9
bs,en,42.9
ca,en,47.8
ceb,en,23.9
cs,en,40.6
cy,en,26.5
da,en,49.5
de,en,45.5
el,en,33.7
es,en,31.5
et,en,37.1
fa,en,33.2
ff,en,6.7
fi,en,34.4
fr,en,45.8
ga,en,0.9
gl,en,41.6
gu,en,10.9
ha,en,18.0
he,en,38.5
hi,en,35.6
hr,en,38.4
hu,en,31.1
hy,en,23.6
id,en,42.2
ig,en,5.0
is,en,31.5
it,en,34.7
ja,en,25.2
jv,en,23.5
ka,en,18.3
kk,en,20.8
km,en,17.6
kn,en,4.7
ko,en,25.3
lb,en,13.2
lg,en,6.6
ln,en,7.4
lo,en,7.8
lt,en,33.8
lv,en,35.3
mk,en,41.5
ml,en,30.0
mn,en,11.3
mr,en,29.7
ms,en,41.9
my,en,10.1
ne,en,30.6
nl,en,34.3
no,en,45.1
ns,en,12.4
oc,en,49.6
or,en,0.6
pa,en,11.6
pl,en,30.4
ps,en,16.9
pt,en,50.8
ro,en,44.0
ru,en,34.9
sd,en,1.7
sk,en,40.0
sl,en,36.1
so,en,11.0
sr,en,42.4
sv,en,48.7
sw,en,37.0
ta,en,25.8
th,en,25.0
tl,en,38.3
tr,en,38.2
uk,en,38.5
ur,en,29.4
uz,en,8.8
vi,en,34.9
wo,en,5.0
xh,en,19.3
yo,en,4.9
zh,en,28.4
zu,en,17.8
