src,trg,spm-sacre
af,ne,10.5
am,ne,3.7
ar,ne,0.1
ast,ne,5.7
az,ne,7.9
be,ne,3.5
bg,ne,8.5
bn,ne,5.9
bs,ne,10.6
ca,ne,9.7
ceb,ne,0.4
cs,ne,8.2
cy,ne,2.9
da,ne,10.6
de,ne,7.5
el,ne,1.9
en,ne,11.7
es,ne,8.0
et,ne,7.4
fa,ne,0.1
ff,ne,1.6
fi,ne,4.7
fr,ne,10.3
ga,ne,3.9
gl,ne,2.3
gu,ne,0.3
ha,ne,5.4
he,ne,0.1
hi,ne,16.5
hr,ne,9.8
hu,ne,4.9
hy,ne,4.4
id,ne,0.1
ig,ne,5.4
is,ne,5.4
it,ne,8.2
ja,ne,4.1
jv,ne,6.5
ka,ne,3.5
kk,ne,3.9
km,ne,1.6
kn,ne,0.8
ko,ne,2.3
lb,ne,3.4
lg,ne,2.1
ln,ne,2.6
lo,ne,2.6
lt,ne,6.6
lv,ne,6.5
mk,ne,8.0
ml,ne,7.4
mn,ne,6.6
mr,ne,12.8
ms,ne,9.3
my,ne,3.6
nl,ne,8.6
no,ne,10.9
ns,ne,3.0
oc,ne,4.8
or,ne,0.7
pa,ne,9.8
pl,ne,7.2
ps,ne,8.7
pt,ne,11.2
ro,ne,10.6
ru,ne,3.2
sd,ne,1.1
sk,ne,7.4
sl,ne,9.0
so,ne,1.5
sr,ne,8.9
sv,ne,10.5
sw,ne,8.3
ta,ne,0.9
th,ne,2.3
tl,ne,10.5
tr,ne,0.2
uk,ne,6.9
ur,ne,9.8
uz,ne,2.6
vi,ne,7.5
wo,ne,1.3
xh,ne,3.6
yo,ne,2.3
zh,ne,0.8
zu,ne,0.7
