src,trg,spm-sacre
af,zh,19.9
am,zh,6.6
ar,zh,19.4
ast,zh,18.5
az,zh,8.3
be,zh,8.7
bg,zh,21.9
bn,zh,14.2
bs,zh,18.2
ca,zh,20.6
ceb,zh,7.6
cs,zh,21.3
cy,zh,7.0
da,zh,21.4
de,zh,22.1
el,zh,19.7
en,zh,27.6
es,zh,19.9
et,zh,18.4
fa,zh,17.4
ff,zh,4.4
fi,zh,19.0
fr,zh,22.8
ga,zh,4.3
gl,zh,21.1
gu,zh,2.0
ha,zh,6.4
he,zh,17.2
hi,zh,15.7
hr,zh,20.7
hu,zh,19.6
hy,zh,0.5
id,zh,21.5
ig,zh,6.3
is,zh,10.2
it,zh,20.1
ja,zh,19.4
jv,zh,11.9
ka,zh,0.4
kk,zh,6.6
km,zh,3.1
kn,zh,2.7
ko,zh,13.7
lb,zh,12.1
lg,zh,5.0
ln,zh,6.0
lo,zh,4.2
lt,zh,18.0
lv,zh,14.1
mk,zh,21.6
ml,zh,8.4
mn,zh,8.0
mr,zh,7.4
ms,zh,19.8
my,zh,3.9
ne,zh,9.5
nl,zh,18.7
no,zh,20.1
ns,zh,5.0
oc,zh,18.0
or,zh,0.8
pa,zh,0.4
pl,zh,19.4
ps,zh,6.5
pt,zh,19.8
ro,zh,22.4
ru,zh,21.6
sd,zh,5.5
sk,zh,19.9
sl,zh,18.8
so,zh,1.8
sr,zh,19.8
sv,zh,21.9
sw,zh,12.9
ta,zh,3.2
th,zh,13.4
tl,zh,11.3
tr,zh,19.4
uk,zh,20.9
ur,zh,5.6
uz,zh,5.0
vi,zh,19.8
wo,zh,3.3
xh,zh,7.1
yo,zh,4.3
zu,zh,6.0
