src,trg,spm-sacre
ceb,af,15.2
ceb,am,2.0
ceb,ar,4.4
ceb,ast,14.6
ceb,az,3.6
ceb,be,6.3
ceb,bg,17.2
ceb,bn,10.1
ceb,bs,12.9
ceb,ca,19.9
ceb,cs,13.8
ceb,cy,9.0
ceb,da,15.2
ceb,de,14.3
ceb,el,14.7
ceb,en,24.5
ceb,es,14.7
ceb,et,13.1
ceb,fa,8.3
ceb,ff,0.2
ceb,fi,11.3
ceb,fr,19.7
ceb,ga,0.5
ceb,gl,17.2
ceb,gu,1.2
ceb,ha,5.5
ceb,he,11.3
ceb,hi,11.6
ceb,hr,11.0
ceb,hu,13.1
ceb,hy,3.5
ceb,id,18.2
ceb,ig,5.9
ceb,is,9.8
ceb,it,14.9
ceb,ja,11.5
ceb,jv,10.9
ceb,ka,4.1
ceb,kk,3.8
ceb,km,2.9
ceb,kn,0.6
ceb,ko,7.2
ceb,lb,11.5
ceb,lg,0.7
ceb,ln,0.9
ceb,lo,5.2
ceb,lt,12.7
ceb,lv,12.4
ceb,mk,16.3
ceb,ml,3.8
ceb,mn,2.7
ceb,mr,5.7
ceb,ms,14.9
ceb,my,1.0
ceb,ne,3.0
ceb,nl,13.3
ceb,no,13.6
ceb,ns,2.8
ceb,oc,14.2
ceb,or,0.2
ceb,pa,3.0
ceb,pl,11.2
ceb,ps,5.0
ceb,pt,19.9
ceb,ro,16.8
ceb,ru,12.4
ceb,sd,3.1
ceb,sk,13.9
ceb,sl,13.6
ceb,so,2.1
ceb,sr,14.2
ceb,sv,15.4
ceb,sw,13.9
ceb,ta,2.9
ceb,th,8.6
ceb,tl,18.3
ceb,tr,10.7
ceb,uk,12.6
ceb,ur,6.6
ceb,uz,0.4
ceb,vi,17.8
ceb,wo,0.7
ceb,xh,6.5
ceb,yo,2.4
ceb,zh,10.4
ceb,zu,6.9
