src,trg,spm-sacre
en,af,39.8
en,am,3.7
en,ar,16.7
en,ast,33.3
en,az,8.0
en,be,12.6
en,bg,44.0
en,bn,25.0
en,bs,33.4
en,ca,44.9
en,ceb,15.6
en,cs,37.2
en,cy,14.1
en,da,47.1
en,de,38.9
en,el,32.4
en,es,29.0
en,et,32.8
en,fa,22.8
en,ff,0.3
en,fi,29.4
en,fr,48.2
en,ga,0.6
en,gl,38.4
en,gu,1.3
en,ha,8.5
en,he,31.0
en,hi,31.8
en,hr,32.7
en,hu,32.8
en,hy,7.1
en,id,42.9
en,ig,9.7
en,is,21.6
en,it,31.4
en,ja,27.3
en,jv,18.0
en,ka,7.8
en,kk,2.9
en,km,5.1
en,kn,0.4
en,ko,21.7
en,lb,21.8
en,lg,0.8
en,ln,0.9
en,lo,8.2
en,lt,33.0
en,lv,34.7
en,mk,39.1
en,ml,11.7
en,mn,6.3
en,mr,12.8
en,ms,36.5
en,my,1.7
en,ne,0.7
en,nl,30.8
en,no,36.3
en,ns,2.6
en,oc,29.9
en,or,0.1
en,pa,5.4
en,pl,25.5
en,ps,10.1
en,pt,49.0
en,ro,42.4
en,ru,32.9
en,sd,8.0
en,sk,38.0
en,sl,33.6
en,so,2.0
en,sr,36.6
en,sv,46.0
en,sw,29.6
en,ta,3.9
en,th,17.2
en,tl,18.1
en,tr,29.9
en,uk,33.2
en,ur,16.9
en,uz,0.5
en,vi,39.0
en,wo,0.8
en,xh,8.9
en,yo,2.7
en,zh,23.3
en,zu,9.0
