src,trg,spm-sacre
ne,af,10.0
ne,am,1.8
ne,ar,2.9
ne,ast,9.0
ne,az,2.4
ne,be,5.0
ne,bg,13.5
ne,bn,11.4
ne,bs,10.0
ne,ca,14.6
ne,ceb,5.6
ne,cs,10.6
ne,cy,5.4
ne,da,11.2
ne,de,10.7
ne,el,11.7
ne,en,14.7
ne,es,10.4
ne,et,10.7
ne,fa,6.8
ne,ff,0.1
ne,fi,9.5
ne,fr,13.7
ne,ga,0.5
ne,gl,12.5
ne,gu,1.5
ne,ha,2.5
ne,he,9.1
ne,hi,15.4
ne,hr,7.9
ne,hu,9.3
ne,hy,2.8
ne,id,10.9
ne,ig,3.2
ne,is,7.0
ne,it,10.7
ne,ja,9.4
ne,jv,5.7
ne,ka,3.0
ne,kk,1.7
ne,km,2.3
ne,kn,0.6
ne,ko,7.3
ne,lb,8.2
ne,lg,0.4
ne,ln,0.3
ne,lo,3.7
ne,lt,11.1
ne,lv,10.7
ne,mk,12.8
ne,ml,4.9
ne,mn,3.1
ne,mr,8.6
ne,ms,10.1
ne,my,0.9
ne,nl,8.9
ne,no,10.1
ne,ns,1.0
ne,oc,9.4
ne,or,0.2
ne,pa,4.7
ne,pl,8.9
ne,ps,4.5
ne,pt,13.7
ne,ro,12.4
ne,ru,9.6
ne,sd,3.8
ne,sk,11.3
ne,sl,10.2
ne,so,0.9
ne,sr,11.3
ne,sv,12.0
ne,sw,8.9
ne,ta,3.5
ne,th,7.3
ne,tl,7.3
ne,tr,7.2
ne,uk,9.9
ne,ur,7.8
ne,uz,0.2
ne,vi,12.9
ne,wo,0.3
ne,xh,3.3
ne,yo,1.1
ne,zh,8.2
ne,zu,3.7
