src,trg,spm-sacre
zh,af,19.0
zh,am,2.2
zh,ar,10.6
zh,ast,19.4
zh,az,5.7
zh,be,7.7
zh,bg,25.4
zh,bn,18.3
zh,bs,19.7
zh,ca,26.3
zh,ceb,6.3
zh,cs,21.5
zh,cy,8.2
zh,da,24.0
zh,de,21.5
zh,el,21.4
zh,en,26.7
zh,es,19.6
zh,et,20.8
zh,fa,15.3
zh,ff,0.1
zh,fi,19.5
zh,fr,27.9
zh,ga,0.4
zh,gl,23.3
zh,gu,0.5
zh,ha,4.2
zh,he,17.9
zh,hi,20.6
zh,hr,20.2
zh,hu,21.7
zh,hy,4.7
zh,id,23.8
zh,ig,5.1
zh,is,14.0
zh,it,20.7
zh,ja,23.0
zh,jv,10.5
zh,ka,5.8
zh,kk,0.3
zh,km,3.5
zh,kn,0.4
zh,ko,17.6
zh,lb,12.1
zh,lg,0.4
zh,ln,0.4
zh,lo,4.7
zh,lt,22.4
zh,lv,13.1
zh,mk,23.6
zh,ml,8.7
zh,mn,4.2
zh,mr,9.0
zh,ms,20.8
zh,my,1.0
zh,ne,0.5
zh,nl,20.0
zh,no,19.0
zh,ns,1.3
zh,oc,15.7
zh,or,0.1
zh,pa,2.8
zh,pl,17.8
zh,ps,6.2
zh,pt,26.0
zh,ro,24.7
zh,ru,20.2
zh,sd,5.6
zh,sk,21.8
zh,sl,21.1
zh,so,0.8
zh,sr,20.0
zh,sv,23.4
zh,sw,17.2
zh,ta,3.6
zh,th,13.0
zh,tl,10.6
zh,tr,18.7
zh,uk,20.0
zh,ur,11.8
zh,uz,0.3
zh,vi,28.6
zh,wo,0.4
zh,xh,5.0
zh,yo,1.4
zh,zu,6.0
