src,trg,spm-sacre
af,ar,13.8
am,ar,1.3
ast,ar,6.1
az,ar,0.9
be,ar,5.3
bg,ar,13.0
bn,ar,10.0
bs,ar,11.6
ca,ar,13.5
ceb,ar,4.4
cs,ar,12.4
cy,ar,4.2
da,ar,13.5
de,ar,13.5
el,ar,12.4
en,ar,16.7
es,ar,11.5
et,ar,12.1
fa,ar,12.2
ff,ar,0.5
fi,ar,11.3
fr,ar,14.0
ga,ar,0.1
gl,ar,12.7
gu,ar,0.2
ha,ar,4.3
he,ar,13.7
hi,ar,11.5
hr,ar,12.7
hu,ar,12.1
hy,ar,6.4
id,ar,12.9
ig,ar,4.4
is,ar,10.5
it,ar,12.2
ja,ar,9.6
jv,ar,6.9
ka,ar,4.8
kk,ar,1.1
km,ar,2.1
kn,ar,0.1
ko,ar,9.7
lb,ar,6.6
lg,ar,1.2
ln,ar,1.6
lo,ar,2.8
lt,ar,11.0
lv,ar,12.3
mk,ar,13.8
ml,ar,8.1
mn,ar,6.3
mr,ar,7.9
ms,ar,12.5
my,ar,0.8
ne,ar,2.9
nl,ar,11.4
no,ar,12.4
ns,ar,0.8
oc,ar,10.8
or,ar,0.1
pa,ar,2.4
pl,ar,11.1
ps,ar,7.8
pt,ar,14.4
ro,ar,14.0
ru,ar,12.3
sd,ar,0.4
sk,ar,12.6
sl,ar,12.0
so,ar,0.2
sr,ar,13.8
sv,ar,13.4
sw,ar,11.3
ta,ar,1.3
th,ar,10.3
tl,ar,8.4
tr,ar,11.9
uk,ar,12.7
ur,ar,7.0
uz,ar,0.3
vi,ar,12.2
wo,ar,0.7
xh,ar,6.6
yo,ar,0.5
zh,ar,10.6
zu,ar,7.0
