src,trg,spm-sacre
af,ceb,11.7
am,ceb,2.9
ar,ceb,3.7
ast,ceb,2.1
az,ceb,1.5
be,ceb,5.9
bg,ceb,8.1
bn,ceb,7.3
bs,ceb,9.3
ca,ceb,11.6
cs,ceb,8.8
cy,ceb,8.5
da,ceb,9.1
de,ceb,8.8
el,ceb,7.1
en,ceb,15.6
es,ceb,5.2
et,ceb,8.4
fa,ceb,6.0
ff,ceb,2.9
fi,ceb,6.1
fr,ceb,8.8
ga,ceb,1.6
gl,ceb,9.9
gu,ceb,1.2
ha,ceb,7.4
he,ceb,6.2
hi,ceb,6.5
hr,ceb,8.8
hu,ceb,8.4
hy,ceb,4.7
id,ceb,9.4
ig,ceb,7.5
is,ceb,8.7
it,ceb,10.5
ja,ceb,5.0
jv,ceb,11.4
ka,ceb,3.8
kk,ceb,2.8
km,ceb,3.5
kn,ceb,0.9
ko,ceb,5.4
lb,ceb,11.0
lg,ceb,4.0
ln,ceb,4.2
lo,ceb,3.7
lt,ceb,5.6
lv,ceb,5.7
mk,ceb,8.6
ml,ceb,6.6
mn,ceb,6.9
mr,ceb,7.1
ms,ceb,9.6
my,ceb,1.8
ne,ceb,5.6
nl,ceb,9.4
no,ceb,8.9
ns,ceb,4.6
oc,ceb,10.5
or,ceb,0.6
pa,ceb,3.2
pl,ceb,7.3
ps,ceb,9.4
pt,ceb,9.8
ro,ceb,10.4
ru,ceb,6.7
sd,ceb,0.8
sk,ceb,8.5
sl,ceb,9.1
so,ceb,2.2
sr,ceb,9.6
sv,ceb,11.7
sw,ceb,9.8
ta,ceb,2.3
th,ceb,10.3
tl,ceb,16.3
tr,ceb,6.6
uk,ceb,8.4
ur,ceb,4.4
uz,ceb,1.4
vi,ceb,7.0
wo,ceb,4.1
xh,ceb,10.8
yo,ceb,3.4
zh,ceb,6.3
zu,ceb,10.3
