src,trg,spm-sacre
af,de,32.8
am,de,9.3
ar,de,20.9
ast,de,24.3
az,de,9.0
be,de,14.1
bg,de,30.2
bn,de,19.3
bs,de,29.9
ca,de,32.0
ceb,de,14.3
cs,de,30.5
cy,de,16.4
da,de,35.0
el,de,27.3
en,de,38.9
es,de,24.6
et,de,29.8
fa,de,22.7
ff,de,2.3
fi,de,27.6
fr,de,32.4
ga,de,0.7
gl,de,30.2
gu,de,1.1
ha,de,9.6
he,de,27.3
hi,de,23.2
hr,de,30.0
hu,de,29.0
hy,de,16.1
id,de,28.1
ig,de,8.6
is,de,23.3
it,de,28.3
ja,de,20.0
jv,de,16.0
ka,de,13.7
kk,de,6.8
km,de,10.9
kn,de,0.8
ko,de,20.7
lb,de,32.0
lg,de,4.2
ln,de,4.5
lo,de,10.9
lt,de,26.8
lv,de,18.2
mk,de,30.7
ml,de,15.2
mn,de,12.2
mr,de,15.6
ms,de,27.0
my,de,5.8
ne,de,10.7
nl,de,26.6
no,de,29.9
ns,de,3.0
oc,de,29.9
or,de,0.6
pa,de,10.2
pl,de,25.2
ps,de,13.8
pt,de,32.4
ro,de,32.4
ru,de,27.3
sd,de,3.6
sk,de,31.3
sl,de,28.9
so,de,1.3
sr,de,32.0
sv,de,34.5
sw,de,22.2
ta,de,6.8
th,de,18.9
tl,de,19.3
tr,de,26.7
uk,de,29.1
ur,de,16.3
uz,de,1.5
vi,de,24.9
wo,de,3.5
xh,de,12.0
yo,de,2.7
zh,de,21.5
zu,de,12.4
