src,trg,spm-sacre
af,en,53.8
am,en,14.6
ar,en,29.4
ast,en,36.0
az,en,9.5
be,en,16.2
bg,en,40.1
bn,en,27.7
bs,en,39.6
ca,en,44.9
ceb,en,24.5
cs,en,38.1
cy,en,27.7
da,en,47.1
de,en,42.9
el,en,35.0
es,en,30.0
et,en,36.8
fa,en,29.4
ff,en,3.5
fi,en,33.2
fr,en,43.9
ga,en,2.8
gl,en,40.4
gu,en,1.7
ha,en,15.3
he,en,37.6
hi,en,34.1
hr,en,37.0
hu,en,34.8
hy,en,21.8
id,en,40.3
ig,en,13.7
is,en,30.4
it,en,34.2
ja,en,24.8
jv,en,25.3
ka,en,16.6
kk,en,3.9
km,en,15.4
kn,en,0.9
ko,en,26.0
lb,en,35.3
lg,en,5.9
ln,en,5.9
lo,en,16.2
lt,en,33.0
lv,en,35.7
mk,en,40.9
ml,en,22.6
mn,en,16.7
mr,en,23.7
ms,en,40.1
my,en,8.4
ne,en,14.7
nl,en,32.5
no,en,42.8
ns,en,5.6
oc,en,46.9
or,en,0.7
pa,en,16.3
pl,en,29.7
ps,en,19.6
pt,en,47.7
ro,en,43.3
ru,en,34.3
sd,en,6.5
sk,en,38.7
sl,en,34.6
so,en,4.3
sr,en,42.1
sv,en,46.3
sw,en,34.1
ta,en,9.7
th,en,23.9
tl,en,30.0
tr,en,35.1
uk,en,37.6
ur,en,23.7
uz,en,1.9
vi,en,34.0
wo,en,5.1
xh,en,20.5
yo,en,4.9
zh,en,26.7
zu,en,19.4
