src,trg,spm-sacre
af,zh,19.2
am,zh,7.0
ar,zh,14.2
ast,zh,14.6
az,zh,6.0
be,zh,11.6
bg,zh,19.9
bn,zh,14.1
bs,zh,17.2
ca,zh,19.7
ceb,zh,10.4
cs,zh,20.1
cy,zh,9.5
da,zh,20.3
de,zh,19.9
el,zh,18.0
en,zh,23.3
es,zh,16.7
et,zh,19.1
fa,zh,15.3
ff,zh,2.3
fi,zh,19.0
fr,zh,19.9
ga,zh,0.6
gl,zh,19.4
gu,zh,0.2
ha,zh,7.2
he,zh,17.2
hi,zh,16.0
hr,zh,19.4
hu,zh,19.2
hy,zh,10.2
id,zh,19.5
ig,zh,7.1
is,zh,15.1
it,zh,18.1
ja,zh,18.1
jv,zh,11.3
ka,zh,8.6
kk,zh,5.5
km,zh,8.5
kn,zh,0.1
ko,zh,17.6
lb,zh,14.5
lg,zh,4.3
ln,zh,4.7
lo,zh,6.8
lt,zh,17.9
lv,zh,14.9
mk,zh,20.0
ml,zh,11.0
mn,zh,10.0
mr,zh,11.9
ms,zh,18.1
my,zh,3.9
ne,zh,8.2
nl,zh,17.4
no,zh,19.1
ns,zh,3.0
oc,zh,17.8
or,zh,0.2
pa,zh,5.6
pl,zh,17.6
ps,zh,9.3
pt,zh,20.3
ro,zh,20.8
ru,zh,18.8
sd,zh,1.5
sk,zh,19.3
sl,zh,18.8
so,zh,1.9
sr,zh,19.8
sv,zh,20.6
sw,zh,14.5
ta,zh,4.0
th,zh,14.8
tl,zh,12.8
tr,zh,17.9
uk,zh,19.0
ur,zh,11.3
uz,zh,1.8
vi,zh,19.2
wo,zh,3.6
xh,zh,8.6
yo,zh,2.9
zu,zh,8.4
