src,trg,spm-sacre
ceb,af,18.6
ceb,am,6.8
ceb,ar,10.9
ceb,ast,11.3
ceb,az,6.3
ceb,be,9.5
ceb,bg,19.4
ceb,bn,14.5
ceb,bs,14.8
ceb,ca,22.8
ceb,cs,15.6
ceb,cy,14.3
ceb,da,17.5
ceb,de,17.1
ceb,el,16.7
ceb,en,27.7
ceb,es,17.0
ceb,et,15.8
ceb,fa,13.4
ceb,ff,0.4
ceb,fi,13.5
ceb,fr,23.2
ceb,ga,0.3
ceb,gl,20.0
ceb,gu,6.7
ceb,ha,8.7
ceb,he,13.8
ceb,hi,16.8
ceb,hr,14.7
ceb,hu,15.5
ceb,hy,5.5
ceb,id,21.0
ceb,ig,10.8
ceb,is,13.6
ceb,it,17.9
ceb,ja,14.9
ceb,jv,14.9
ceb,ka,4.9
ceb,kk,8.3
ceb,km,9.9
ceb,kn,3.7
ceb,ko,10.5
ceb,lb,14.8
ceb,lg,1.8
ceb,ln,0.9
ceb,lo,9.1
ceb,lt,15.0
ceb,lv,15.4
ceb,mk,18.8
ceb,ml,11.1
ceb,mn,7.3
ceb,mr,10.3
ceb,ms,17.6
ceb,my,5.1
ceb,ne,8.7
ceb,nl,15.3
ceb,no,14.6
ceb,ns,4.3
ceb,oc,17.4
ceb,or,0.4
ceb,pa,8.7
ceb,pl,13.2
ceb,ps,8.7
ceb,pt,22.8
ceb,ro,19.3
ceb,ru,15.8
ceb,sd,8.9
ceb,sk,16.3
ceb,sl,15.5
ceb,so,5.2
ceb,sr,16.3
ceb,sv,17.7
ceb,sw,17.8
ceb,ta,5.6
ceb,th,13.2
ceb,tl,22.6
ceb,tr,13.4
ceb,uk,15.3
ceb,ur,9.6
ceb,uz,1.9
ceb,vi,20.8
ceb,wo,1.0
ceb,xh,10.6
ceb,yo,2.9
ceb,zh,11.5
ceb,zu,11.1
