src,trg,spm-sacre
de,af,31.5
de,am,10.3
de,ar,24.3
de,ast,21.3
de,az,8.9
de,be,7.2
de,bg,37.4
de,bn,23.6
de,bs,28.4
de,ca,38.0
de,ceb,11.1
de,cs,32.8
de,cy,18.7
de,da,38.8
de,el,29.4
de,en,44.6
de,es,27.1
de,et,30.6
de,fa,24.8
de,ff,0.1
de,fi,28.5
de,fr,41.9
de,ga,0.3
de,gl,32.8
de,gu,6.9
de,ha,9.8
de,he,28.1
de,hi,28.4
de,hr,29.4
de,hu,30.3
de,hy,8.5
de,id,33.4
de,ig,13.4
de,is,24.4
de,it,30.2
de,ja,25.4
de,jv,16.9
de,ka,3.9
de,kk,8.5
de,km,13.2
de,kn,3.7
de,ko,20.5
de,lb,26.4
de,lg,1.1
de,ln,1.1
de,lo,12.3
de,lt,30.1
de,lv,17.0
de,mk,33.2
de,ml,18.4
de,mn,10.7
de,mr,15.2
de,ms,29.3
de,my,4.1
de,ne,1.2
de,nl,30.2
de,no,29.7
de,ns,3.1
de,oc,26.1
de,or,0.5
de,pa,13.7
de,pl,25.6
de,ps,12.3
de,pt,39.3
de,ro,35.8
de,ru,30.3
de,sd,11.4
de,sk,33.9
de,sl,31.6
de,so,3.6
de,sr,29.4
de,sv,37.9
de,sw,26.8
de,ta,3.4
de,th,20.4
de,tl,21.9
de,tr,26.9
de,uk,28.2
de,ur,15.8
de,uz,1.6
de,vi,34.2
de,wo,0.8
de,xh,12.3
de,yo,2.1
de,zh,20.2
de,zu,12.5
