src,trg,spm-sacre
af,az,8.5
am,az,4.0
ar,az,5.0
ast,az,5.0
be,az,4.2
bg,az,9.1
bn,az,7.4
bs,az,10.5
ca,az,9.5
ceb,az,6.3
cs,az,8.6
cy,az,4.1
da,az,8.2
de,az,8.9
el,az,8.3
en,az,10.4
es,az,7.9
et,az,8.4
fa,az,6.9
ff,az,1.3
fi,az,7.9
fr,az,8.8
ga,az,0.3
gl,az,8.5
gu,az,0.6
ha,az,4.7
he,az,6.7
hi,az,8.0
hr,az,9.5
hu,az,8.8
hy,az,6.1
id,az,5.7
ig,az,4.9
is,az,6.8
it,az,8.6
ja,az,7.4
jv,az,7.2
ka,az,3.4
kk,az,4.6
km,az,4.1
kn,az,0.5
ko,az,8.1
lb,az,8.0
lg,az,2.0
ln,az,2.3
lo,az,3.7
lt,az,8.9
lv,az,9.3
mk,az,9.8
ml,az,6.6
mn,az,7.9
mr,az,7.0
ms,az,7.6
my,az,1.8
ne,az,3.6
nl,az,8.2
no,az,6.6
ns,az,2.5
oc,az,8.6
or,az,0.5
pa,az,4.4
pl,az,8.4
ps,az,7.2
pt,az,9.6
ro,az,10.1
ru,az,7.9
sd,az,1.6
sk,az,9.5
sl,az,8.8
so,az,0.7
sr,az,9.8
sv,az,9.8
sw,az,7.2
ta,az,3.2
th,az,8.9
tl,az,6.7
tr,az,9.6
uk,az,10.0
ur,az,6.0
uz,az,1.8
vi,az,9.1
wo,az,2.0
xh,az,6.4
yo,az,1.5
zh,az,8.1
zu,az,6.7
