src,trg,spm-sacre
af,de,34.6
am,de,11.9
ar,de,27.1
ast,de,25.7
az,de,9.9
be,de,15.0
bg,de,32.2
bn,de,22.4
bs,de,33.1
ca,de,34.4
ceb,de,17.1
cs,de,33.0
cy,de,18.5
da,de,36.6
el,de,29.1
en,de,42.1
es,de,27.1
et,de,31.5
fa,de,26.2
ff,de,2.8
fi,de,29.0
fr,de,34.4
ga,de,1.1
gl,de,32.0
gu,de,1.2
ha,de,11.2
he,de,30.0
hi,de,25.5
hr,de,31.5
hu,de,30.8
hy,de,17.3
id,de,30.0
ig,de,10.7
is,de,25.1
it,de,30.1
ja,de,21.4
jv,de,18.5
ka,de,12.8
kk,de,11.3
km,de,14.5
kn,de,1.2
ko,de,22.5
lb,de,33.9
lg,de,4.5
ln,de,5.3
lo,de,9.5
lt,de,28.1
lv,de,18.7
mk,de,31.8
ml,de,19.1
mn,de,16.0
mr,de,18.4
ms,de,29.0
my,de,7.7
ne,de,14.2
nl,de,27.9
no,de,32.0
ns,de,5.7
oc,de,30.8
or,de,0.6
pa,de,11.7
pl,de,27.2
ps,de,17.7
pt,de,35.3
ro,de,34.6
ru,de,29.9
sd,de,4.2
sk,de,33.0
sl,de,30.5
so,de,2.7
sr,de,33.1
sv,de,36.9
sw,de,24.6
ta,de,9.6
th,de,22.4
tl,de,23.7
tr,de,28.4
uk,de,31.0
ur,de,17.4
uz,de,3.2
vi,de,27.2
wo,de,5.0
xh,de,15.9
yo,de,3.5
zh,de,22.0
zu,de,16.4
