src,trg,spm-sacre
af,ne,2.3
am,ne,5.8
ar,ne,0.2
ast,ne,1.4
az,ne,1.1
be,ne,3.5
bg,ne,1.0
bn,ne,1.5
bs,ne,6.9
ca,ne,1.6
ceb,ne,8.7
cs,ne,0.5
cy,ne,8.5
da,ne,1.0
de,ne,1.2
el,ne,0.2
en,ne,2.9
es,ne,0.6
et,ne,0.9
fa,ne,0.3
ff,ne,1.8
fi,ne,0.5
fr,ne,0.8
ga,ne,0.3
gl,ne,1.3
gu,ne,0.5
ha,ne,7.9
he,ne,0.5
hi,ne,2.4
hr,ne,1.0
hu,ne,0.9
hy,ne,4.5
id,ne,0.6
ig,ne,6.8
is,ne,1.2
it,ne,0.6
ja,ne,1.9
jv,ne,4.5
ka,ne,3.1
kk,ne,5.4
km,ne,6.4
kn,ne,0.2
ko,ne,2.1
lb,ne,4.6
lg,ne,2.0
ln,ne,3.1
lo,ne,8.0
lt,ne,0.6
lv,ne,0.4
mk,ne,1.4
ml,ne,1.9
mn,ne,11.5
mr,ne,2.7
ms,ne,1.3
my,ne,4.9
nl,ne,1.2
no,ne,0.6
ns,ne,2.8
oc,ne,0.9
or,ne,0.3
pa,ne,13.4
pl,ne,0.6
ps,ne,12.2
pt,ne,0.6
ro,ne,1.3
ru,ne,1.4
sd,ne,1.1
sk,ne,0.9
sl,ne,0.9
so,ne,2.7
sr,ne,1.5
sv,ne,1.7
sw,ne,2.6
ta,ne,1.3
th,ne,13.4
tl,ne,2.3
tr,ne,0.3
uk,ne,1.4
ur,ne,1.7
uz,ne,0.8
vi,ne,1.5
wo,ne,3.0
xh,ne,10.4
yo,ne,2.8
zh,ne,1.6
zu,ne,10.6
