src,trg,spm-sacre
af,ar,15.6
am,ar,0.6
ast,ar,14.8
az,ar,1.9
be,ar,0.6
bg,ar,25.6
bn,ar,11.5
bs,ar,18.3
ca,ar,26.3
ceb,ar,3.8
cs,ar,20.4
cy,ar,1.3
da,ar,22.6
de,ar,19.0
el,ar,20.3
en,ar,29.8
es,ar,18.0
et,ar,18.1
fa,ar,22.0
ff,ar,0.1
fi,ar,15.9
fr,ar,27.8
ga,ar,0.1
gl,ar,21.9
gu,ar,0.1
ha,ar,0.9
he,ar,20.2
hi,ar,23.1
hr,ar,18.6
hu,ar,18.1
hy,ar,4.2
id,ar,22.4
ig,ar,1.6
is,ar,9.0
it,ar,19.7
ja,ar,18.4
jv,ar,6.0
ka,ar,0.4
kk,ar,0.4
km,ar,0.6
kn,ar,0.1
ko,ar,15.8
lb,ar,8.1
lg,ar,0.2
ln,ar,0.4
lo,ar,1.2
lt,ar,19.1
lv,ar,19.7
mk,ar,21.7
ml,ar,3.2
mn,ar,1.6
mr,ar,4.4
ms,ar,22.9
my,ar,0.2
ne,ar,0.1
nl,ar,17.6
no,ar,17.4
ns,ar,0.3
oc,ar,14.1
or,ar,0.02
pa,ar,1.4
pl,ar,15.3
ps,ar,4.2
pt,ar,26.6
ro,ar,23.5
ru,ar,19.2
sd,ar,3.5
sk,ar,21.5
sl,ar,19.1
so,ar,0.2
sr,ar,22.3
sv,ar,22.2
sw,ar,12.7
ta,ar,1.1
th,ar,10.1
tl,ar,2.7
tr,ar,18.9
uk,ar,20.1
ur,ar,13.6
uz,ar,0.3
vi,ar,25.0
wo,ar,0.3
xh,ar,1.5
yo,ar,0.4
zh,ar,15.3
zu,ar,1.5
