src,trg,spm-sacre
az,af,4.8
az,am,0.4
az,ar,1.7
az,ast,5.0
az,be,1.9
az,bg,9.9
az,bn,3.6
az,bs,6.3
az,ca,10.3
az,ceb,1.9
az,cs,6.0
az,cy,1.2
az,da,7.1
az,de,6.9
az,el,9.6
az,en,7.6
az,es,7.2
az,et,8.1
az,fa,4.3
az,ff,0.1
az,fi,7.3
az,fr,10.0
az,ga,0.03
az,gl,8.3
az,gu,0.2
az,ha,0.5
az,he,5.7
az,hi,6.0
az,hr,6.1
az,hu,8.5
az,hy,1.5
az,id,5.1
az,ig,1.0
az,is,4.2
az,it,7.6
az,ja,4.3
az,jv,2.4
az,ka,0.4
az,kk,1.0
az,km,0.3
az,kn,0.2
az,ko,3.0
az,lb,2.9
az,lg,0.3
az,ln,0.4
az,lo,0.8
az,lt,8.7
az,lv,8.4
az,mk,8.4
az,ml,1.3
az,mn,1.1
az,mr,2.0
az,ms,4.7
az,my,0.1
az,ne,1.0
az,nl,6.1
az,no,5.9
az,ns,0.3
az,oc,4.8
az,or,0.1
az,pa,0.9
az,pl,5.9
az,ps,1.7
az,pt,9.7
az,ro,8.2
az,ru,6.5
az,sd,0.9
az,sk,7.7
az,sl,7.0
az,so,0.2
az,sr,7.7
az,sv,7.0
az,sw,4.1
az,ta,2.2
az,th,5.0
az,tl,2.7
az,tr,8.1
az,uk,6.2
az,ur,3.9
az,uz,0.4
az,vi,10.2
az,wo,0.2
az,xh,1.2
az,yo,0.4
az,zh,4.2
az,zu,1.3
