src,trg,spm-sacre
ceb,af,9.5
ceb,am,0.6
ceb,ar,5.1
ceb,ast,8.1
ceb,az,2.0
ceb,be,3.4
ceb,bg,10.4
ceb,bn,5.2
ceb,bs,8.0
ceb,ca,13.7
ceb,cs,8.6
ceb,cy,3.2
ceb,da,10.4
ceb,de,9.3
ceb,el,9.5
ceb,en,16.5
ceb,es,10.7
ceb,et,8.4
ceb,fa,6.9
ceb,ff,0.3
ceb,fi,6.7
ceb,fr,13.6
ceb,ga,0.2
ceb,gl,12.5
ceb,gu,0.5
ceb,ha,2.6
ceb,he,7.5
ceb,hi,9.0
ceb,hr,8.0
ceb,hu,9.3
ceb,hy,1.2
ceb,id,12.3
ceb,ig,3.0
ceb,is,6.1
ceb,it,11.1
ceb,ja,8.4
ceb,jv,6.7
ceb,ka,0.6
ceb,kk,1.8
ceb,km,0.8
ceb,kn,0.3
ceb,ko,5.3
ceb,lb,6.6
ceb,lg,0.9
ceb,ln,1.3
ceb,lo,1.9
ceb,lt,8.4
ceb,lv,7.5
ceb,mk,10.4
ceb,ml,1.7
ceb,mn,1.3
ceb,mr,2.9
ceb,ms,11.5
ceb,my,0.4
ceb,ne,2.5
ceb,nl,9.4
ceb,no,9.4
ceb,ns,1.2
ceb,oc,8.4
ceb,or,0.2
ceb,pa,1.3
ceb,pl,7.9
ceb,ps,2.2
ceb,pt,14.3
ceb,ro,10.5
ceb,ru,8.1
ceb,sd,1.4
ceb,sk,8.8
ceb,sl,8.1
ceb,so,1.3
ceb,sr,9.3
ceb,sv,10.1
ceb,sw,7.7
ceb,ta,2.8
ceb,th,4.8
ceb,tl,13.5
ceb,tr,8.5
ceb,uk,8.4
ceb,ur,5.1
ceb,uz,0.7
ceb,vi,12.4
ceb,wo,0.8
ceb,xh,3.5
ceb,yo,1.8
ceb,zh,7.3
ceb,zu,3.1
