src,trg,spm-sacre
ar,af,18.4
ar,am,1.1
ar,ast,11.9
ar,az,1.7
ar,be,8.0
ar,bg,21.1
ar,bn,15.0
ar,bs,19.4
ar,ca,19.8
ar,ceb,5.1
ar,cs,19.5
ar,cy,4.5
ar,da,20.2
ar,de,20.3
ar,el,18.1
ar,en,25.8
ar,es,17.0
ar,et,17.6
ar,fa,19.4
ar,ff,0.5
ar,fi,16.8
ar,fr,20.6
ar,ga,0.1
ar,gl,18.9
ar,gu,0.03
ar,ha,3.2
ar,he,20.9
ar,hi,17.1
ar,hr,18.9
ar,hu,17.4
ar,hy,5.8
ar,id,19.4
ar,ig,3.4
ar,is,11.8
ar,it,18.2
ar,ja,14.4
ar,jv,7.7
ar,ka,3.8
ar,kk,1.3
ar,km,3.0
ar,kn,0.05
ar,ko,15.2
ar,lb,8.9
ar,lg,0.7
ar,ln,1.1
ar,lo,5.2
ar,lt,17.0
ar,lv,16.9
ar,mk,20.9
ar,ml,8.9
ar,mn,6.9
ar,mr,11.7
ar,ms,19.2
ar,my,0.8
ar,ne,3.4
ar,nl,16.1
ar,no,18.5
ar,ns,1.4
ar,oc,17.1
ar,or,0.1
ar,pa,3.5
ar,pl,16.4
ar,ps,8.6
ar,pt,21.4
ar,ro,20.4
ar,ru,18.0
ar,sd,0.3
ar,sk,19.1
ar,sl,17.6
ar,so,0.6
ar,sr,20.3
ar,sv,20.1
ar,sw,13.7
ar,ta,1.6
ar,th,13.1
ar,tl,7.4
ar,tr,18.9
ar,uk,18.5
ar,ur,7.2
ar,uz,0.5
ar,vi,18.3
ar,wo,0.6
ar,xh,6.0
ar,yo,0.5
ar,zh,16.1
ar,zu,6.0
