src,trg,spm-sacre
af,ceb,8.2
am,ceb,1.9
ar,ceb,3.8
ast,ceb,4.6
az,ceb,1.9
be,ceb,3.4
bg,ceb,5.7
bn,ceb,4.4
bs,ceb,7.3
ca,ceb,7.7
cs,ceb,7.0
cy,ceb,5.5
da,ceb,7.5
de,ceb,7.0
el,ceb,5.4
en,ceb,10.5
es,ceb,6.4
et,ceb,5.8
fa,ceb,4.8
ff,ceb,2.1
fi,ceb,5.0
fr,ceb,7.6
ga,ceb,2.1
gl,ceb,7.1
gu,ceb,0.2
ha,ceb,4.0
he,ceb,5.0
hi,ceb,5.2
hr,ceb,6.9
hu,ceb,5.6
hy,ceb,2.5
id,ceb,7.5
ig,ceb,3.4
is,ceb,5.6
it,ceb,6.9
ja,ceb,4.2
jv,ceb,6.9
ka,ceb,2.0
kk,ceb,2.4
km,ceb,3.8
kn,ceb,0.1
ko,ceb,4.6
lb,ceb,6.4
lg,ceb,2.8
ln,ceb,3.0
lo,ceb,3.0
lt,ceb,5.5
lv,ceb,4.9
mk,ceb,6.3
ml,ceb,3.1
mn,ceb,2.4
mr,ceb,4.0
ms,ceb,7.8
my,ceb,1.8
ne,ceb,3.0
nl,ceb,7.1
no,ceb,6.7
ns,ceb,4.5
oc,ceb,6.7
or,ceb,0.5
pa,ceb,2.0
pl,ceb,6.0
ps,ceb,3.5
pt,ceb,7.9
ro,ceb,7.4
ru,ceb,5.5
sd,ceb,0.6
sk,ceb,6.9
sl,ceb,6.1
so,ceb,3.4
sr,ceb,6.1
sv,ceb,7.8
sw,ceb,5.8
ta,ceb,1.7
th,ceb,3.9
tl,ceb,10.9
tr,ceb,5.7
uk,ceb,5.8
ur,ceb,2.7
uz,ceb,1.5
vi,ceb,7.1
wo,ceb,2.7
xh,ceb,5.1
yo,ceb,3.1
zh,ceb,4.7
zu,ceb,4.4
