src,trg,spm-sacre
af,en,45.1
am,en,6.8
ar,en,29.8
ast,en,30.0
az,en,7.6
be,en,12.4
bg,en,34.1
bn,en,25.1
bs,en,33.1
ca,en,39.1
ceb,en,16.5
cs,en,33.6
cy,en,12.6
da,en,41.0
de,en,36.4
el,en,28.9
es,en,25.8
et,en,29.9
fa,en,27.9
ff,en,2.9
fi,en,27.4
fr,en,39.0
ga,en,2.0
gl,en,35.0
gu,en,0.7
ha,en,8.3
he,en,32.5
hi,en,30.1
hr,en,30.8
hu,en,28.7
hy,en,14.7
id,en,34.6
ig,en,7.7
is,en,21.7
it,en,28.9
ja,en,20.2
jv,en,18.0
ka,en,7.9
kk,en,4.1
km,en,11.6
kn,en,0.4
ko,en,21.6
lb,en,24.0
lg,en,4.1
ln,en,4.0
lo,en,12.3
lt,en,27.1
lv,en,28.4
mk,en,34.5
ml,en,16.1
mn,en,10.2
mr,en,20.5
ms,en,35.5
my,en,4.9
ne,en,9.2
nl,en,27.8
no,en,37.6
ns,en,5.9
oc,en,37.8
or,en,0.7
pa,en,12.5
pl,en,25.0
ps,en,14.0
pt,en,42.2
ro,en,36.9
ru,en,28.4
sd,en,3.9
sk,en,32.6
sl,en,29.2
so,en,4.2
sr,en,33.9
sv,en,41.0
sw,en,26.6
ta,en,8.1
th,en,18.2
tl,en,19.9
tr,en,30.5
uk,en,29.3
ur,en,16.0
uz,en,1.9
vi,en,29.3
wo,en,3.5
xh,en,12.8
yo,en,3.8
zh,en,21.2
zu,en,12.1
