src,trg,spm-sacre
az,af,15.0
az,am,4.9
az,ar,13.0
az,ast,15.5
az,be,11.8
az,bg,20.0
az,bn,16.1
az,bs,14.8
az,ca,20.7
az,ceb,10.8
az,cs,15.9
az,cy,7.5
az,da,17.7
az,de,16.8
az,el,17.0
az,en,19.8
az,es,16.2
az,et,16.0
az,fa,13.8
az,ff,0.2
az,fi,13.5
az,fr,22.0
az,ga,5.6
az,gl,17.9
az,gu,2.9
az,ha,3.4
az,he,14.5
az,hi,16.8
az,hr,14.8
az,hu,16.0
az,hy,6.9
az,id,15.0
az,ig,5.2
az,is,11.7
az,it,16.6
az,ja,15.3
az,jv,6.9
az,ka,8.7
az,kk,4.7
az,km,2.6
az,kn,2.0
az,ko,12.0
az,lb,5.9
az,lg,0.2
az,ln,0.4
az,lo,2.8
az,lt,16.9
az,lv,18.0
az,mk,18.8
az,ml,10.0
az,mn,4.6
az,mr,8.8
az,ms,15.2
az,my,1.3
az,ne,13.0
az,nl,15.0
az,no,15.0
az,ns,0.9
az,oc,12.2
az,or,0.2
az,pa,3.6
az,pl,13.7
az,ps,5.6
az,pt,19.9
az,ro,19.0
az,ru,16.9
az,sd,4.1
az,sk,16.9
az,sl,15.9
az,so,1.1
az,sr,16.8
az,sv,16.7
az,sw,14.5
az,ta,6.5
az,th,10.3
az,tl,13.1
az,tr,18.0
az,uk,16.8
az,ur,10.6
az,uz,0.7
az,vi,20.1
az,wo,0.4
az,xh,0.3
az,yo,1.2
az,zh,12.8
az,zu,1.6
