src,trg,spm-sacre
de,af,29.2
de,am,6.8
de,ar,22.6
de,ast,26.7
de,az,13.1
de,be,15.2
de,bg,35.4
de,bn,21.7
de,bs,28.0
de,ca,36.4
de,ceb,11.8
de,cs,31.5
de,cy,12.2
de,da,37.4
de,el,26.9
de,en,42.6
de,es,25.9
de,et,28.6
de,fa,20.2
de,ff,0.6
de,fi,24.9
de,fr,39.1
de,ga,8.8
de,gl,32.5
de,gu,4.2
de,ha,6.2
de,he,24.4
de,hi,25.5
de,hr,28.5
de,hu,28.1
de,hy,10.4
de,id,31.2
de,ig,9.3
de,is,18.6
de,it,27.7
de,ja,21.7
de,jv,11.0
de,ka,10.2
de,kk,8.1
de,km,4.5
de,kn,3.0
de,ko,17.4
de,lb,4.3
de,lg,0.3
de,ln,0.8
de,lo,5.3
de,lt,28.6
de,lv,16.7
de,mk,31.8
de,ml,13.2
de,mn,6.2
de,mr,11.8
de,ms,27.4
de,my,2.1
de,ne,18.1
de,nl,28.2
de,no,28.7
de,ns,2.0
de,oc,19.8
de,or,0.3
de,pa,5.9
de,pl,24.0
de,ps,8.5
de,pt,37.5
de,ro,34.4
de,ru,27.6
de,sd,6.7
de,sk,32.4
de,sl,29.8
de,so,2.4
de,sr,30.3
de,sv,36.9
de,sw,23.0
de,ta,6.3
de,th,14.8
de,tl,18.9
de,tr,26.3
de,uk,27.6
de,ur,14.7
de,uz,0.8
de,vi,32.0
de,wo,0.8
de,xh,1.1
de,yo,2.0
de,zh,19.7
de,zu,3.8
