src,trg,spm-sacre
en,af,40.3
en,am,6.7
en,ar,28.4
en,ast,29.6
en,az,13.7
en,be,16.6
en,bg,43.1
en,bn,25.4
en,bs,34.0
en,ca,44.6
en,ceb,14.2
en,cs,36.1
en,cy,15.1
en,da,46.9
en,de,40.1
en,el,30.9
en,es,29.0
en,et,31.8
en,fa,23.9
en,ff,0.2
en,fi,28.0
en,fr,48.5
en,ga,9.0
en,gl,38.2
en,gu,5.0
en,ha,8.6
en,he,30.6
en,hi,31.9
en,hr,32.1
en,hu,31.7
en,hy,11.0
en,id,42.0
en,ig,10.7
en,is,20.3
en,it,31.0
en,ja,24.8
en,jv,17.3
en,ka,10.3
en,kk,8.7
en,km,5.3
en,kn,2.4
en,ko,20.9
en,lb,0.3
en,lg,0.5
en,ln,0.7
en,lo,5.4
en,lt,32.2
en,lv,33.7
en,mk,38.3
en,ml,14.2
en,mn,7.1
en,mr,13.9
en,ms,37.6
en,my,2.5
en,ne,21.6
en,nl,29.4
en,no,36.8
en,ns,2.1
en,oc,24.4
en,or,0.3
en,pa,5.7
en,pl,25.0
en,ps,10.2
en,pt,49.3
en,ro,41.9
en,ru,31.8
en,sd,7.6
en,sk,37.3
en,sl,32.4
en,so,2.8
en,sr,38.2
en,sv,45.1
en,sw,30.7
en,ta,4.2
en,th,17.3
en,tl,23.8
en,tr,31.1
en,uk,32.6
en,ur,17.8
en,uz,0.8
en,vi,38.1
en,wo,0.8
en,xh,0.0
en,yo,2.9
en,zh,22.3
en,zu,1.4
