src,trg,spm-sacre
af,ar,22.6
am,ar,10.4
ast,ar,19.4
az,ar,13.0
be,ar,14.5
bg,ar,23.3
bn,ar,16.5
bs,ar,20.7
ca,ar,23.3
ceb,ar,14.7
cs,ar,21.6
cy,ar,13.1
da,ar,23.4
de,ar,22.6
el,ar,20.6
en,ar,28.4
es,ar,18.8
et,ar,20.6
fa,ar,19.5
ff,ar,2.3
fi,ar,19.6
fr,ar,23.0
ga,ar,9.7
gl,ar,22.5
gu,ar,10.1
ha,ar,2.8
he,ar,22.4
hi,ar,18.6
hr,ar,22.0
hu,ar,20.2
hy,ar,12.7
id,ar,21.2
ig,ar,7.3
is,ar,16.8
it,ar,19.6
ja,ar,16.2
jv,ar,12.6
ka,ar,12.7
kk,ar,7.4
km,ar,9.5
kn,ar,7.4
ko,ar,17.2
lb,ar,17.6
lg,ar,1.0
ln,ar,4.6
lo,ar,9.9
lt,ar,19.8
lv,ar,12.4
mk,ar,23.0
ml,ar,13.5
mn,ar,10.9
mr,ar,13.4
ms,ar,20.9
my,ar,7.5
ne,ar,16.0
nl,ar,18.0
no,ar,21.1
ns,ar,4.7
oc,ar,22.5
or,ar,0.4
pa,ar,7.9
pl,ar,18.4
ps,ar,11.8
pt,ar,23.7
ro,ar,23.0
ru,ar,20.6
sd,ar,0.6
sk,ar,21.6
sl,ar,20.1
so,ar,1.5
sr,ar,23.4
sv,ar,22.7
sw,ar,18.1
ta,ar,4.3
th,ar,16.2
tl,ar,15.9
tr,ar,20.4
uk,ar,22.0
ur,ar,14.8
uz,ar,5.4
vi,ar,19.4
wo,ar,4.0
xh,ar,6.2
yo,ar,2.6
zh,ar,17.9
zu,ar,9.4
