src,trg,spm-sacre
af,az,11.9
am,az,6.7
ar,az,11.1
ast,az,11.1
be,az,9.3
bg,az,13.4
bn,az,10.0
bs,az,13.0
ca,az,12.4
ceb,az,9.1
cs,az,12.6
cy,az,7.2
da,az,12.9
de,az,13.1
el,az,11.4
en,az,13.7
es,az,11.1
et,az,12.3
fa,az,10.8
ff,az,1.5
fi,az,11.9
fr,az,12.8
ga,az,6.4
gl,az,12.6
gu,az,6.6
ha,az,4.0
he,az,11.3
hi,az,10.7
hr,az,12.2
hu,az,12.3
hy,az,9.3
id,az,12.1
ig,az,4.9
is,az,9.7
it,az,11.9
ja,az,10.1
jv,az,7.5
ka,az,9.2
kk,az,8.1
km,az,6.5
kn,az,5.5
ko,az,10.4
lb,az,10.0
lg,az,1.5
ln,az,2.8
lo,az,5.7
lt,az,12.6
lv,az,12.6
mk,az,12.2
ml,az,8.6
mn,az,7.8
mr,az,8.9
ms,az,11.0
my,az,5.7
ne,az,10.0
nl,az,11.3
no,az,12.0
ns,az,2.6
oc,az,11.8
or,az,1.0
pa,az,6.8
pl,az,11.3
ps,az,7.5
pt,az,13.0
ro,az,12.8
ru,az,13.0
sd,az,2.9
sk,az,12.8
sl,az,12.4
so,az,2.4
sr,az,12.8
sv,az,12.2
sw,az,9.8
ta,az,6.4
th,az,9.6
tl,az,9.6
tr,az,14.6
uk,az,12.6
ur,az,9.4
uz,az,6.0
vi,az,11.5
wo,az,1.5
xh,az,5.4
yo,az,2.3
zh,az,11.2
zu,az,6.2
