src,trg,spm-sacre
af,ne,17.7
am,ne,10.4
ar,ne,0.2
ast,ne,16.4
az,ne,13.0
be,ne,10.5
bg,ne,17.3
bn,ne,16.3
bs,ne,18.0
ca,ne,16.7
ceb,ne,12.0
cs,ne,16.6
cy,ne,11.0
da,ne,17.7
de,ne,18.1
el,ne,15.4
en,ne,21.6
es,ne,14.5
et,ne,16.8
fa,ne,1.2
ff,ne,2.2
fi,ne,15.7
fr,ne,17.0
ga,ne,9.0
gl,ne,17.7
gu,ne,12.2
ha,ne,5.8
he,ne,1.1
hi,ne,19.3
hr,ne,16.2
hu,ne,16.4
hy,ne,12.4
id,ne,1.4
ig,ne,6.9
is,ne,12.9
it,ne,15.5
ja,ne,13.6
jv,ne,11.1
ka,ne,11.7
kk,ne,10.2
km,ne,9.4
kn,ne,7.5
ko,ne,13.7
lb,ne,15.0
lg,ne,1.8
ln,ne,3.2
lo,ne,7.4
lt,ne,15.8
lv,ne,16.5
mk,ne,16.6
ml,ne,13.2
mn,ne,10.2
mr,ne,15.7
ms,ne,15.8
my,ne,7.4
nl,ne,14.7
no,ne,17.0
ns,ne,3.2
oc,ne,17.1
or,ne,1.6
pa,ne,12.5
pl,ne,14.5
ps,ne,11.8
pt,ne,17.9
ro,ne,17.6
ru,ne,15.2
sd,ne,5.6
sk,ne,17.1
sl,ne,16.1
so,ne,3.4
sr,ne,18.0
sv,ne,17.4
sw,ne,14.7
ta,ne,10.4
th,ne,13.2
tl,ne,14.3
tr,ne,1.4
uk,ne,16.1
ur,ne,14.9
uz,ne,4.7
vi,ne,15.6
wo,ne,2.2
xh,ne,8.5
yo,ne,2.7
zh,ne,14.1
zu,ne,8.5
