src,trg,spm-sacre
af,zh,18.8
am,zh,9.4
ar,zh,17.0
ast,zh,17.3
az,zh,12.8
be,zh,12.5
bg,zh,20.1
bn,zh,14.2
bs,zh,18.9
ca,zh,19.3
ceb,zh,12.7
cs,zh,19.7
cy,zh,10.7
da,zh,19.8
de,zh,19.7
el,zh,17.7
en,zh,22.3
es,zh,16.3
et,zh,18.5
fa,zh,15.4
ff,zh,4.1
fi,zh,18.2
fr,zh,19.4
ga,zh,9.3
gl,zh,19.7
gu,zh,8.9
ha,zh,6.3
he,zh,17.3
hi,zh,15.9
hr,zh,19.4
hu,zh,18.9
hy,zh,12.4
id,zh,18.8
ig,zh,7.6
is,zh,14.8
it,zh,17.3
ja,zh,17.1
jv,zh,11.8
ka,zh,11.0
kk,zh,10.9
km,zh,10.4
kn,zh,7.1
ko,zh,17.1
lb,zh,15.5
lg,zh,4.6
ln,zh,6.2
lo,zh,9.2
lt,zh,17.8
lv,zh,10.1
mk,zh,20.0
ml,zh,11.3
mn,zh,10.8
mr,zh,12.8
ms,zh,18.1
my,zh,6.3
ne,zh,14.2
nl,zh,16.6
no,zh,18.7
ns,zh,6.2
oc,zh,19.1
or,zh,1.2
pa,zh,9.2
pl,zh,17.4
ps,zh,10.5
pt,zh,20.1
ro,zh,20.1
ru,zh,18.9
sd,zh,3.8
sk,zh,19.5
sl,zh,18.3
so,zh,4.4
sr,zh,19.5
sv,zh,19.8
sw,zh,14.7
ta,zh,7.0
th,zh,15.3
tl,zh,13.7
tr,zh,17.4
uk,zh,19.5
ur,zh,12.9
uz,zh,7.1
vi,zh,18.4
wo,zh,4.8
xh,zh,8.3
yo,zh,5.0
zu,zh,8.5
